Question,Operation,Difficulty,Answer,Choices
39|||13,Multiplication,Hard,507,"505, 506, 507, 508"
44|||18,Multiplication,Hard,792,"790, 791, 792, 793"
52|||16,Multiplication,Hard,832,"830, 831, 832, 833"
61|||14,Multiplication,Hard,854,"852, 853, 854, 855"
67|||19,Multiplication,Hard,1273,"1271, 1272, 1273, 1274"
73|||21,Multiplication,Hard,1533,"1531, 1532, 1533, 1534"
82|||23,Multiplication,Hard,1886,"1884, 1885, 1886, 1887"
10|||2,Division,Easy,5,"3, 4, 5, 6"
12|||3,Division,Easy,4,"2, 3, 4, 5"
16|||4,Division,Easy,4,"2, 3, 4, 5"
20|||5,Division,Easy,4,"2, 3, 4, 5"
18|||6,Division,Easy,3,"2, 3, 4, 5"
24|||8,Division,Easy,3,"2, 3, 4, 5"
30|||6,Division,Easy,5,"3, 4, 5, 6"
36|||9,Division,Easy,4,"2, 3, 4, 5"
42|||7,Division,Easy,6,"4, 5, 6, 7"
48|||8,Division,Easy,6,"4, 5, 6, 7"
64|||8,Division,Medium,8,"6, 7, 8, 9"
72|||9,Division,Medium,8,"6, 7, 8, 9"
81|||9,Division,Medium,9,"7, 8, 9, 10"
90|||6,Division,Medium,15,"13, 14, 15, 16"
96|||12,Division,Medium,8,"6, 7, 8, 9"
108|||9,Division,Medium,12,"10, 11, 12, 13"
121|||11,Division,Medium,11,"9, 10, 11, 12"
132|||12,Division,Medium,11,"9, 10, 11, 12"
144|||16,Division,Medium,9,"7, 8, 9, 10"
156|||13,Division,Medium,12,"10, 11, 12, 13"
256|||16,Division,Hard,16,"14, 15, 16, 17"
289|||17,Division,Hard,17,"15, 16, 17, 18"
324|||18,Division,Hard,18,"16, 17, 18, 19"
361|||19,Division,Hard,19,"17, 18, 19, 20"
400|||20,Division,Hard,20,"18, 19, 20, 21"
441|||21,Division,Hard,21,"19, 20, 21, 22"
484|||22,Division,Hard,22,"20, 21, 22, 23"
529|||23,Division,Hard,23,"21, 22, 23, 24"
576|||24,Division,Hard,24,"22, 23, 24, 25"
625|||25,Division,Hard,25,"23, 24, 25, 26"
2.5|||1.3,Decimals,Hard,3.8,"3.6, 3.7, 3.8, 3.9"
4.7|||2.8,Decimals,Hard,7.5,"7.3, 7.4, 7.5, 7.6"
6.9|||1.4,Decimals,Hard,5.5,"5.3, 5.4, 5.5, 5.6"
8.2|||3.6,Decimals,Hard,4.6,"4.4, 4.5, 4.6, 4.7"
3.5|||2.5,Decimals,Hard,8.75,"8.5, 8.6, 8.75, 8.9"
7.2|||1.8,Decimals,Hard,4,"3.8, 3.9, 4, 4.1"
9.6|||2.4,Decimals,Hard,4,"3.8, 3.9, 4, 4.1"
5.4|||1.2,Decimals,Hard,6.48,"6.4, 6.5, 6.48, 6.6"
25|||100,Percentage,Hard,25,"23, 24, 25, 26"
50|||80,Percentage,Hard,40,"38, 39, 40, 41"
20|||150,Percentage,Hard,30,"28, 29, 30, 31"
75|||60,Percentage,Hard,45,"43, 44, 45, 46"
30|||120,Percentage,Hard,36,"34, 35, 36, 37"
40|||75,Percentage,Hard,30,"28, 29, 30, 31"
60|||50,Percentage,Hard,30,"28, 29, 30, 31"
10|||200,Percentage,Hard,20,"18, 19, 20, 21"
